choice_mode,pref_mode,tc,pref_tc,tt,pref_tt
Bus,Ridesharing Bike,10,75,45,15
Walking,Ridesharing Car,0,35,15,15
Bus,Leguna,10,35,15,5
Rickshaw,Rickshaw,75,75,25,25
Bus,Bus,10,10,15,15
Rickshaw,Rickshaw,35,35,5,15
Rickshaw,Rickshaw,35,35,15,15
Rickshaw,Rickshaw,35,35,15,15
Bus,Leguna,10,35,25,15
Ridesharing Bike,"Rickshaw, Bus, Bike",75,75,5,15
Bus,Bus,10,10,15,5
Bus,"Bus, Leguna",10,10,15,15
Bus,Bus,10,10,5,5
Bike,Bike,10,10,15,5
Bike,"Rickshaw, Bus",10,35,5,15
Rickshaw,"Rickshaw, Bike",75,75,25,15
Bus,Bus,10,10,15,15
Ridesharing Bike,"Rickshaw, Bus, Ridesharing Bike",75,75,15,15
Bus,Bus,10,10,45,25
Walking,Rickshaw,0,35,15,5
Bike,Rickshaw,10,35,15,15
Bus,Bus,10,10,45,15
Rickshaw,Rickshaw,20,20,10,10
Rickshaw,Rickshaw,50,50,20,20
Walking,Bus,0,10,5,5
Bus,Rickshaw,10,30,20,15
Rickshaw,Rickshaw,40,40,15,20
Bus,Rickshaw,15,50,25,15
CNG,CNG,30,30,20,20
Walking,Rickshaw,0,10,10,5
Walking,Bus,0,5,15,10
Rickshaw,"Rickshaw, Bike",50,50,20,25
Bus,Rickshaw,10,30,20,15
Rickshaw,Rickshaw,30,20,10,10
Leguna,Leguna,20,20,20,20
Rickshaw,Rickshaw,40,20,15,15
Rickshaw,Rickshaw,20,20,10,10
Rickshaw,Rickshaw,30,30,10,10
Walking,Bus,0,5,10,5
Bus,Bus,15,20,25,30
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,40,50,20,25
Walking,Leguna,0,5,5,5
Rickshaw,Rickshaw,30,30,20,20
Walking,Leguna,0,5,10,5
Rickshaw,Bus,10,10,20,20
Walking,Bus,0,5,2,1
Bus,Rickshaw,15,60,25,40
Rickshaw,Rickshaw,30,30,15,15
Rickshaw,Leguna,30,10,15,10
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Leguna,50,20,25,20
Walking,Rickshaw,0,20,10,5
Bus,"Bus, Leguna",20,10,40,20
Rickshaw,Rickshaw,40,40,20,20
Walking,"Rickshaw, Bus",0,20,30,25
Rickshaw,Rickshaw,30,30,15,10
Rickshaw,Rickshaw,40,40,20,20
Bus,"Bus, Leguna",15,15,20,20
Bus,Bus,10,10,15,15
Rickshaw,Rickshaw,40,40,20,25
Bus,Bus,10,10,40,30
Bus,Bus,15,15,45,35
Bus,Bus,10,10,20,20
Bus,Bus,10,10,35,30
Bus,Bus,10,10,20,15
Bus,"Rickshaw, Bus",5,20,10,15
Rickshaw,Rickshaw,60,60,30,30
Rickshaw,Rickshaw,30,30,15,15
Rickshaw,Rickshaw,50,40,35,30
Rickshaw,Leguna,40,10,20,10
Walking,Rickshaw,0,20,5,5
Bus,Bus,10,10,30,30
Leguna,Leguna,15,15,15,15
Rickshaw,Rickshaw,20,20,10,10
Rickshaw,Rickshaw,30,30,15,15
Walking,CNG,0,10,10,5
Rickshaw,Rickshaw,20,20,5,5
Rickshaw,Rickshaw,30,30,10,10
Leguna,Leguna,15,15,20,20
Private Car,Private Car,40,40,20,20
Rickshaw,Rickshaw,20,20,5,5
Walking,Rickshaw,0,10,5,2
Rickshaw,Rickshaw,20,20,10,10
Bus,Rickshaw,10,50,30,40
Walking,Rickshaw,0,10,5,5
Rickshaw,Rickshaw,50,50,25,25
Walking,Rickshaw,0,20,5,5
Rickshaw,Rickshaw,30,30,10,10
Walking,Rickshaw,0,20,10,5
Bus,Bus,15,15,40,45
Rickshaw,Rickshaw,30,30,10,10
Bus,Bus,10,10,25,30
Rickshaw,Rickshaw,60,60,25,30
Bus,Bus,10,10,15,15
Walking,Rickshaw,0,20,5,5
Walking,Rickshaw,0,20,5,5
Bus,Bus,10,10,30,30
Walking,Rickshaw,0,10,10,2
Bus,Bus,10,10,30,30
Bus,Bus,10,10,25,25
Bus,Bus,10,10,30,30
Bus,Bus,5,5,10,10
Bus,Bus,10,10,20,20
Bus,Bus,15,15,25,25
Rickshaw,Rickshaw,50,50,35,30
Walking,Rickshaw,0,20,15,10
Walking,Walking,0,0,20,20
Bus,Leguna,15,20,30,20
Walking,Walking,0,0,10,10
Rickshaw,Rickshaw,30,30,10,10
Walking,Walking,0,0,10,10
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,40,40,20,20
Walking,Walking,0,0,5,5
Leguna,Leguna,20,20,20,20
Rickshaw,Rickshaw,30,30,10,10
Bus,Bus,20,20,45,40
Rickshaw,Rickshaw,50,50,20,20
Rickshaw,Rickshaw,50,50,20,20
Rickshaw,Rickshaw,40,40,20,20
Bus,Bus,10,10,30,30
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,40,40,20,20
Bus,Rickshaw,10,60,30,25
Bus,Leguna,15,20,20,20
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,60,60,25,30
Rickshaw,Rickshaw,40,40,25,25
Bus,Bus,10,10,30,30
Rickshaw,Rickshaw,50,50,20,20
Bus,Bus,10,10,20,20
Rickshaw,Leguna,70,30,40,30
Rickshaw,Rickshaw,30,20,15,15
Walking,Rickshaw,0,10,2,2
Rickshaw,Rickshaw,50,50,25,30
Rickshaw,Rickshaw,20,20,5,5
Rickshaw,Rickshaw,20,20,5,5
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,30,30,20,20
Rickshaw,Rickshaw,30,30,10,10
Rickshaw,Rickshaw,30,30,15,15
Rickshaw,Rickshaw,30,30,15,15
Walking,Rickshaw,0,30,20,15
Rickshaw,Rickshaw,60,60,30,30
Rickshaw,Rickshaw,50,50,30,30
Rickshaw,Rickshaw,50,50,20,20
Bus,Rickshaw,10,30,15,15
Bus,Bus,15,15,40,45
Walking,Rickshaw,0,30,10,15
Rickshaw,Rickshaw,50,50,20,20
Rickshaw,Rickshaw,30,30,10,10
Rickshaw,Rickshaw,40,40,25,25
Rickshaw,Rickshaw,40,40,20,20
Bus,Leguna,15,20,30,20
Rickshaw,Rickshaw,20,20,10,10
Rickshaw,Rickshaw,30,30,20,20
Bus,Bus,10,10,20,20
Rickshaw,Rickshaw,40,40,15,20
Rickshaw,Rickshaw,30,30,20,20
Walking,Rickshaw,0,20,20,10
Rickshaw,Rickshaw,30,30,20,20
Walking,Rickshaw,0,30,20,15
Rickshaw,Rickshaw,30,30,20,20
Bus,Bus,10,10,15,15
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,40,40,20,20
Walking,Rickshaw,0,30,20,15
Rickshaw,Rickshaw,40,40,20,20
Walking,Rickshaw,0,30,20,15
Rickshaw,Rickshaw,30,30,10,10
Rickshaw,Rickshaw,40,40,20,15
Rickshaw,Rickshaw,50,50,20,20
Walking,Rickshaw,0,30,25,15
Walking,Walking,0,0,5,5
Rickshaw,Rickshaw,40,40,15,10
Rickshaw,Rickshaw,50,50,20,20
Rickshaw,Rickshaw,30,30,10,15
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,40,40,15,20
Walking,Walking,0,0,2,2
Bus,Bus,15,15,25,25
Bus,Bus,20,40,40,20
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,50,50,20,20
Rickshaw,Rickshaw,30,30,15,15
Walking,Rickshaw,0,30,15,10
Rickshaw,Rickshaw,30,30,10,10
Rickshaw,Rickshaw,40,40,15,15
Rickshaw,Rickshaw,30,30,20,20
Rickshaw,Rickshaw,30,30,10,10
Rickshaw,Rickshaw,40,40,20,20
Bus,Rickshaw,10,40,15,20
Rickshaw,Rickshaw,30,30,10,10
Rickshaw,Rickshaw,40,40,20,20
Walking,Rickshaw,0,20,15,10
Bus,Bus,10,10,10,10
Walking,Walking,0,0,20,20
Rickshaw,Rickshaw,30,30,20,20
Rickshaw,Rickshaw,50,50,25,25
Bus,Rickshaw,50,50,20,20
Bus,Walking,10,0,10,10
Rickshaw,Rickshaw,50,50,20,20
Rickshaw,Rickshaw,40,40,15,15
Rickshaw,Rickshaw,30,30,15,15
Rickshaw,Rickshaw,30,30,20,20
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Rickshaw,40,40,15,15
Walking,Walking,0,0,3,3
Walking,Walking,0,0,5,5
Rickshaw,Rickshaw,20,20,10,10
Bus,Bus,10,10,15,15
Leguna,Leguna,10,10,15,15
Leguna,Leguna,10,10,10,10
Walking,Walking,0,0,5,5
Bus,Bus,15,15,20,20
Walking,Walking,0,0,15,15
Walking,Walking,0,0,10,10
Bus,Bus,10,10,15,15
Bus,Bus,10,10,15,15
Rickshaw,Rickshaw,50,50,20,20
Rickshaw,Rickshaw,50,50,20,20
Rickshaw,Rickshaw,30,30,10,10
Bus,Bus,10,10,20,20
Rickshaw,Rickshaw,30,30,10,10
Bus,Bus,10,10,20,20
Rickshaw,Rickshaw,40,40,15,15
Rickshaw,Rickshaw,40,40,20,20
Rickshaw,Leguna,60,20,25,15
Bus,Bus,10,10,20,20
Rickshaw,Rickshaw,40,40,20,20
Bus,Bus,10,10,20,15
Rickshaw,Rickshaw,50,50,20,20
Rickshaw,Rickshaw,60,60,20,20
Bus,Bus,10,10,40,30
Bus,Bus,10,10,15,15
Bus,Walking,10,40,15,15
Rickshaw,Rickshaw,40,40,12,15
Bus,Bus,10,10,15,15
Walking,Walking,0,0,20,20
Rickshaw,Rickshaw,60,50,20,20
Walking,Walking,0,0,5,5
Bus,Rickshaw,10,30,10,12
Rickshaw,Rickshaw,50,50,20,20
Walking,Walking,0,0,6,5
Rickshaw,Rickshaw,20,20,10,10
Rickshaw,Rickshaw,40,40,15,15
Rickshaw,Rickshaw,30,30,20,20
Bus,Bus,10,10,20,15
Rickshaw,Rickshaw,20,20,10,10
Walking,Walking,0,0,5,5
Rickshaw,Rickshaw,20,20,10,10
Rickshaw,Rickshaw,20,20,10,10
Bus,Bus,10,10,15,15
Bus,Bus,10,10,25,20
