ID,survey_time,surv_t,trip_purp,eg_st,eg_mode,eg_tt,eg_tc,b1,b2,b3,b4,b5,ec1,ec2,ec3,ec4,trip_freq,gen_purp,age,gen,occ,month_inc,veh_own_car,veh_own_bike,veh_own_cyc,mrt_pass,bus_av,car_av,leg_av,rick_av,walk_av,bike_av,cng_av,car_dist,car_tt,car_cost,bus_dist,bus_tt,bus_cost,leg_dist,leg_tt,leg_cost,walk_dist,walk_tt,walk_cost,bike_dist,bike_tt,bike_cost,rick_dist,rick_tt,rick_cost,cng_dist,cng_tt,cng_cost
1,12:30:00 PM,2,2,11,7,5,10,0,0,0,0,1,0,0,0,0,6,2,20,0,1,5,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,3.2,9,48,0.6,9,10,3.2,20.8,21,0.6,9,0,3.2,15.1,58,0.6,5,25,3.2,17.4,136
2,12:30:00 PM,2,7,11,7,25,35,0,0,0,0,0,0,0,0,0,6,2,20,0,1,5,1,1,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,3.5,10,53,3.5,34,10,3.5,22.8,22.5,3.5,49,0,3.5,16.5,62,3.5,28,70,3.5,19,145
3,12:30:00 PM,2,7,9,2,15,75,1,0,0,0,0,0,0,0,0,4,5,40,0,3,80,0,0,0,1,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,9.6,20,144,12.3,84,30,9.6,62.5,53,7.5,103,0,9.6,45.2,135,7.5,61,135,9.6,52.2,328
4,12:30:00 PM,2,2,1,7,5,35,1,0,0,0,1,0,0,0,0,4,2,20,0,1,5,0,1,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,0.001,1,0,0,5,10,0.001,0,10,0.001,1,0,0.001,0,20,0.001,0,20,0.001,0,100
5,12:30:00 PM,2,2,9,2,5,10,0,1,0,0,0,0,0,0,0,5,2,40,0,3,60,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,2,5,30,1.7,23,10,2,13,15,1.7,23,0,2,9.4,44,1.7,14,35,2,10.9,100
6,12:30:00 PM,2,7,6,7,15,35,0,0,0,0,1,0,0,0,0,5,2,20,1,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,1.2,7,18,1.6,19,10,1.2,7.8,15,1.2,17,0,1.2,5.6,34,1.2,10,30,1.2,6.5,100
7,12:30:00 PM,2,4,9,2,15,150,0,1,0,0,0,0,0,0,0,4,4,30,1,3,60,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,1,2,15,1,14,10,1,6.5,10,1,14,0,1,4.7,32,1,8,30,1,5.4,100
8,12:30:00 PM,2,2,6,1,5,10,1,0,0,0,0,0,0,0,0,6,2,20,1,1,5,0,0,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,1.2,7,18,1.6,19,10,1.2,7.8,15,1.2,17,0,1.2,5.6,34,1.2,10,30,1.2,6.5,100
9,12:30:00 PM,2,4,16,2,25,75,0,1,0,0,0,0,0,0,0,6,4,40,0,4,60,0,0,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,4.3,14,65,3.9,36,10,4.3,28,26.5,3.1,44,0,4.3,20.2,72,3.1,25,65,4.3,23.4,169
10,12:30:00 PM,2,7,4,2,5,10,0,0,0,0,0,0,0,0,0,3,3,70,0,5,30,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,0.6,3,9,0.6,8,10,0.6,3.9,10,0.6,8,0,0.6,2.8,27,0.6,5,25,0.6,3.3,100
11,12:30:00 PM,2,2,4,2,15,35,1,0,0,0,0,0,0,0,0,4,2,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,0.7,3,11,0.5,7,10,0.7,4.6,10,0.5,7,0,0.7,3.3,28,0.5,4,20,0.7,3.8,100
12,12:30:00 PM,2,2,14,1,5,10,0,1,0,0,0,0,0,0,0,6,2,20,1,1,5,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,12.9,27,194,10.3,87,25,12.9,84,69.5,10,139,0,12.9,60.7,175,10,81,175,12.9,70.2,427
13,9:56:00 AM,1,4,12,4,45,250,0,0,0,0,0,0,0,0,0,6,4,40,0,4,20,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,5.5,18,83,5.6,52,15,5.5,35.8,32.5,4.1,58,0,5.5,25.9,86,4.1,33,80,5.5,29.9,205
14,10:15:00 AM,1,7,16,2,25,75,1,0,0,0,0,0,0,0,0,5,2,20,0,1,5,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,1.5,6,23,1.7,23,10,1.5,9.8,15,1.3,18,0,1.5,7.1,38,1.3,11,30,1.5,8.2,100
15,10:10:00 AM,1,2,1,2,25,35,0,0,0,0,0,0,0,0,0,5,2,20,1,1,20,1,1,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,30.6,63,459,32.9,385,80,30.6,199.4,158,22.8,316,0,30.6,144,387,22.8,184,380,30.6,166.5,958
16,10:20:00 AM,1,2,14,2,15,35,1,0,0,0,0,0,1,0,0,5,2,20,0,1,5,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,1.6,6,24,3.2,27,10,1.6,10.4,15,1.5,21,0,1.6,7.5,39,1.5,12,35,1.6,8.7,100
17,10:38:00 AM,1,6,14,1,25,10,0,0,0,0,0,0,0,0,0,1,6,20,0,1,5,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,1.3,5,20,1.3,18,10,1.3,8.5,15,1.3,18,0,1.3,6.1,36,1.3,11,30,1.3,7.1,100
18,11:05:00 AM,2,7,6,2,25,35,1,0,0,0,0,1,0,1,0,4,3,40,0,3,30,0,0,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,3.1,9,47,2.5,19,10,3.1,20.2,20.5,2.4,32,0,3.1,14.6,57,2.4,19,55,3.1,16.9,133
19,11:12:00 AM,2,2,9,2,15,35,0,0,0,0,1,0,0,0,0,5,2,20,1,1,5,0,1,0,1,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,1,2,15,1,14,10,1,6.5,10,1,14,0,1,4.7,32,1,8,30,1,5.4,100
20,11:18:00 AM,2,6,11,2,5,35,0,0,0,0,0,0,0,0,0,4,6,20,1,1,5,1,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,2.1,7,32,1.8,25,10,2.1,13.7,15.5,1.8,25,0,2.1,9.9,45,1.8,15,40,2.1,11.4,130
21,11:25:00 AM,2,6,4,2,25,75,0,0,0,0,0,0,0,0,0,4,6,20,1,1,20,1,0,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,1,1,6.9,17,104,17.4,102,45,6.9,45,39.5,6.6,91,0,6.9,32.5,103,6.6,53,120,6.9,37.5,247
22,11:45:00 AM,2,7,5,1,5,10,1,0,0,1,0,0,0,0,0,4,4,20,0,1,20,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,0.7,3,11,0.6,9,10,0.7,4.6,10,0.6,9,0,0.7,3.3,28,0.6,5,25,0.7,3.8,100
